experience_level,employment_type,job_title,employee_residence,company_location,company_size,remote_ratio,salary_in_usd
EN,FT,Data Engineer,PK,DE,M,100,58035.0
SE,FT,Data Scientist,US,US,M,100,165000.0
SE,FT,Research Scientist,FR,FR,L,50,93427.0
EN,FT,Data Scientist,CA,CA,L,100,52396.0
SE,FT,Machine Learning Engineer,NL,NL,L,100,62651.0
MI,FT,Head of Data,EE,EE,S,100,32974.0
EN,FT,Data Scientist,JP,MY,L,100,40000.0
MI,FT,Machine Learning Engineer,AU,AU,L,100,87425.0
SE,FT,Data Engineer,US,US,M,100,115000.0
EN,FT,Data Scientist,AU,AU,M,50,86703.0
MI,FT,Applied Machine Learning Scientist,BO,US,L,100,75000.0
MI,FT,Research Scientist,AT,AT,L,0,64849.0
EN,FT,Research Scientist,US,US,L,100,120000.0
MI,FT,Applied Data Scientist,US,US,L,100,157000.0
EN,FT,Computer Vision Software Engineer,AU,AU,S,100,150000.0
MI,FT,Business Data Analyst,CA,CA,L,50,70912.0
EN,FT,Data Engineer,US,US,S,100,65000.0
SE,FT,Machine Learning Engineer,IE,IE,S,100,71444.0
EN,FT,Data Analytics Engineer,PK,PK,M,0,20000.0
MI,FT,Data Scientist,RU,US,S,100,48000.0
SE,FT,Data Science Manager,US,US,M,100,152500.0
MI,FT,Data Engineer,FR,FR,M,100,68147.0
MI,FT,Data Scientist,CH,CH,L,0,122346.0
SE,FT,Applied Data Scientist,US,US,L,100,380000.0
MI,FT,Data Scientist,CA,CA,M,100,69336.0
EN,FT,Computer Vision Engineer,PT,LU,M,100,10000.0
MI,FT,Data Analyst,GR,GR,S,100,20000.0
SE,FT,Data Analytics Lead,US,US,L,100,405000.0
MI,FT,Data Scientist,US,US,L,100,135000.0
SE,FT,Applied Data Scientist,US,US,L,100,177000.0
MI,FT,Data Scientist,US,US,M,100,78000.0
SE,FT,Data Analyst,US,US,M,100,135000.0
SE,FT,Data Analyst,US,US,M,100,100000.0
SE,FT,Data Analyst,US,US,M,100,90320.0
MI,FT,Data Analyst,CA,CA,M,0,85000.0
MI,FT,Data Analyst,CA,CA,M,0,75000.0
SE,FT,Machine Learning Engineer,US,US,M,100,214000.0
SE,FT,Machine Learning Engineer,US,US,M,100,192600.0
SE,FT,Data Architect,US,US,M,100,266400.0
SE,FT,Data Architect,US,US,M,100,213120.0
SE,FT,Data Analyst,US,US,M,100,112900.0
SE,FT,Data Engineer,US,US,M,100,155000.0
MI,FT,Data Scientist,US,US,M,0,141300.0
MI,FT,Data Scientist,US,US,M,0,102100.0
SE,FT,Data Analyst,US,US,M,100,115934.0
SE,FT,Data Analyst,US,US,M,100,81666.0
MI,FT,Data Engineer,US,US,M,0,206699.0
MI,FT,Data Engineer,US,US,M,0,99100.0
SE,FT,Data Engineer,US,US,M,100,130000.0
SE,FT,Data Engineer,US,US,M,100,115000.0
SE,FT,Data Engineer,US,US,M,100,110500.0
SE,FT,Data Engineer,US,US,M,100,130000.0
SE,FT,Data Analyst,US,US,M,100,99050.0
SE,FT,Data Engineer,US,US,M,100,160000.0
SE,FT,Data Scientist,US,US,L,0,205300.0
SE,FT,Data Scientist,US,US,L,0,140400.0
SE,FT,Data Scientist,US,US,M,100,176000.0
SE,FT,Data Scientist,US,US,M,100,144000.0
SE,FT,Data Engineer,US,US,M,100,200100.0
SE,FT,Data Engineer,US,US,M,100,160000.0
SE,FT,Data Engineer,US,US,M,100,145000.0
SE,FT,Data Engineer,US,US,M,0,70500.0
SE,FT,Data Scientist,US,US,M,0,205300.0
SE,FT,Data Scientist,US,US,M,0,140400.0
SE,FT,Analytics Engineer,US,US,M,0,205300.0
SE,FT,Analytics Engineer,US,US,M,0,184700.0
SE,FT,Data Engineer,US,US,M,100,175100.0
SE,FT,Data Engineer,US,US,M,100,140250.0
SE,FT,Data Analyst,US,US,M,100,116150.0
SE,FT,Data Engineer,US,US,M,0,54000.0
SE,FT,Data Analyst,US,US,M,100,170000.0
MI,FT,Data Analyst,GB,GB,M,0,65438.0
SE,FT,Data Analyst,US,US,M,100,80000.0
SE,FT,Data Scientist,US,US,M,100,140000.0
SE,FT,Data Scientist,US,US,M,100,210000.0
SE,FT,Data Scientist,US,US,M,100,140000.0
SE,FT,Data Analyst,US,US,M,100,100000.0
SE,FT,Data Analyst,US,US,M,100,69000.0
SE,FT,Data Scientist,US,US,M,100,210000.0
SE,FT,Data Scientist,US,US,M,100,140000.0
SE,FT,Data Scientist,US,US,M,100,210000.0
SE,FT,Data Analyst,US,US,M,100,150075.0
SE,FT,Data Engineer,US,US,M,100,100000.0
SE,FT,Data Engineer,US,US,M,100,25000.0
SE,FT,Data Analyst,US,US,M,100,126500.0
SE,FT,Data Analyst,US,US,M,100,106260.0
SE,FT,Data Engineer,US,US,M,100,220110.0
SE,FT,Data Engineer,US,US,M,100,160080.0
SE,FT,Data Analyst,US,US,M,100,105000.0
SE,FT,Data Analyst,US,US,M,100,110925.0
MI,FT,Data Analyst,GB,GB,M,0,45807.0
SE,FT,Data Scientist,US,US,M,100,140000.0
SE,FT,Data Analyst,US,US,M,0,99000.0
SE,FT,Data Analyst,US,US,M,100,60000.0
SE,FT,Data Architect,US,US,M,100,192564.0
SE,FT,Data Architect,US,US,M,100,144854.0
SE,FT,Data Scientist,US,US,M,100,230000.0
SE,FT,Data Scientist,US,US,M,100,150000.0
SE,FT,Data Analytics Manager,US,US,M,100,150260.0
SE,FT,Data Analytics Manager,US,US,M,100,109280.0
SE,FT,Data Scientist,US,US,M,100,210000.0
SE,FT,Data Analyst,US,US,M,100,170000.0
MI,FT,Data Scientist,US,US,M,100,160000.0
MI,FT,Data Scientist,US,US,M,100,130000.0
EN,FT,Data Analyst,CA,CA,M,0,67000.0
EN,FT,Data Analyst,CA,CA,M,0,52000.0
SE,FT,Data Engineer,US,US,M,100,154000.0
SE,FT,Data Engineer,US,US,M,100,126000.0
SE,FT,Data Analyst,US,US,M,0,129000.0
SE,FT,Data Analyst,US,US,M,100,150000.0
MI,FT,AI Scientist,IN,US,L,100,200000.0
